動画タイトル,YouTube_URL,自動判定種別
夢見鳥,https://www.youtube.com/watch?v=2hQEVSFaQV4,公式音源候補
アポイント・シグナル,https://www.youtube.com/watch?v=5ZlVL9HMroc,公式音源候補
チョコデート・サンデー,https://www.youtube.com/watch?v=JUvpDPykqnw,公式音源候補
Sweet Memories,https://www.youtube.com/watch?v=f4vZtYqzXvc,公式音源候補
ハナマルバッジ,https://www.youtube.com/watch?v=_LQZ4HUQESU,公式音源候補
リフレクトサイン (2022 Ver.),https://www.youtube.com/watch?v=NP6DbedxYEA,公式音源候補
誰ソ彼アイデンティティー,https://www.youtube.com/watch?v=sdsxf89-3DY,公式音源候補
わたしの主人公はわたしだから！,https://www.youtube.com/watch?v=a1i8KSBiDzQ,公式音源候補
また明日,https://www.youtube.com/watch?v=P7j2qGoipys,公式音源候補
常咲の庭,https://www.youtube.com/watch?v=oUNvOafaNIk,公式音源候補
プラスチック・アンブレラ (2022 Ver.),https://www.youtube.com/watch?v=xkNmOk9yQ8g,公式音源候補
Going my way,https://www.youtube.com/watch?v=Kg7IV80d-Aw,公式音源候補
雪・月・風・花,https://www.youtube.com/watch?v=mnkKbnWmJqg,公式音源候補
スローモーション,https://www.youtube.com/watch?v=nZyNbYoqlxI,公式音源候補
千夜アリア,https://www.youtube.com/watch?v=Bhn7kN-rSu0,公式音源候補
Damascus Cocktail,https://www.youtube.com/watch?v=R05DW9F2kdc,公式音源候補
Darling you!,https://www.youtube.com/watch?v=HSw_sVUiAA0,公式音源候補
あおぞらサイダー,https://www.youtube.com/watch?v=DJU-wqB-Z0c,公式音源候補
SOS,https://www.youtube.com/watch?v=g2z4dFH-kD0,公式音源候補
過純性ブリーチ,https://www.youtube.com/watch?v=sfGAMsCdoVg,公式音源候補
HAREBARE!!,https://www.youtube.com/watch?v=lw2ViO7-040,公式音源候補
statice,https://www.youtube.com/watch?v=4MCcDMqPehA,公式音源候補
SOLAR WAY,https://www.youtube.com/watch?v=jsG1W1IRGTQ,公式音源候補
Resonance⁺ (2023 Ver.),https://www.youtube.com/watch?v=E4V3kHTmm7E,公式音源候補
Color Days (2023 Ver.),https://www.youtube.com/watch?v=WNr5sibgr74,公式音源候補
PRISISM,https://www.youtube.com/watch?v=eBudCFyDKQg,公式音源候補
スマイルシンフォニア,https://www.youtube.com/watch?v=tr_leWHLafc,公式音源候補
abyss of conflict (2023 Ver.),https://www.youtube.com/watch?v=BeSsPrA2BA4,公式音源候補
革命進化論 (2023 Ver.),https://www.youtube.com/watch?v=5JkqSOrkLPc,公式音源候補
クライマックスアイランド,https://www.youtube.com/watch?v=3JQjFkwVo9Y,公式音源候補
拝啓タイムカプセル,https://www.youtube.com/watch?v=aD_jSRh2zHk,公式音源候補
VOY@GER (シャイニーカラーズVer.),https://www.youtube.com/watch?v=8ONkH_nUsF4,公式音源候補
パステルカラー パスカラカラー,https://www.youtube.com/watch?v=VyzV-6UWq8U,公式音源候補
ラブ・ボナペティート,https://www.youtube.com/watch?v=bkbhnhNVRR0,公式音源候補
Another Rampage,https://www.youtube.com/watch?v=Q3uzDZ_Gcsg,公式音源候補
Timeless Shooting Star,https://www.youtube.com/watch?v=qApldtgM_QQ,公式音源候補
GR＠TITUDE (シャイニーカラーズVer.),https://www.youtube.com/watch?v=2yeBrzJ09bE,公式音源候補
僕らだけの未来の空,https://www.youtube.com/watch?v=SkQKSCWmRoM,公式音源候補
今しかない瞬間を,https://www.youtube.com/watch?v=CC2KWXZtzVc,公式音源候補
OH MY GOD,https://www.youtube.com/watch?v=vnbWkAK4azQ,公式音源候補
Fly and Fly,https://www.youtube.com/watch?v=BITX92KQfX0,公式音源候補
神様は死んだ、って,https://www.youtube.com/watch?v=215hTNzT5Xk,公式音源候補
虹の行方,https://www.youtube.com/watch?v=04Ru2pBp2eg,公式音源候補
Daybreak Age,https://www.youtube.com/watch?v=p9Zab9wvVjw,公式音源候補
FELICE,https://www.youtube.com/watch?v=6SP2DOCIjqY,公式音源候補
イルミネイトコンサート,https://www.youtube.com/watch?v=6-OZG6vJj3w,公式音源候補
Killer×Mission,https://www.youtube.com/watch?v=FRJ80iioDZM,公式音源候補
浮動性イノセンス,https://www.youtube.com/watch?v=288td1ES8So,公式音源候補
愚者の独白,https://www.youtube.com/watch?v=31tL35yYFrY,公式音源候補
相合学舎,https://www.youtube.com/watch?v=rNgLMIZwLBU,公式音源候補
一閃は君が導く,https://www.youtube.com/watch?v=5gC1Acs0sq8,公式音源候補
キャットスクワッド,https://www.youtube.com/watch?v=K7rfVTsLBdw,公式音源候補
Secret utopIA,https://www.youtube.com/watch?v=2ljCa8C7lVY,公式音源候補
VERY BERRY LOVE,https://www.youtube.com/watch?v=Gk-NiBl1rNI,公式音源候補
Give me some more...,https://www.youtube.com/watch?v=rjn-4vBvFDI,公式音源候補
Tracing Defender,https://www.youtube.com/watch?v=AAcw716Wd3w,公式音源候補
Overdrive Emotion,https://www.youtube.com/watch?v=qJIneWk8sMg,公式音源候補
Catch the Breeze,https://www.youtube.com/watch?v=D8Jv1we451E,公式音源候補
アスファルトを鳴らして,https://www.youtube.com/watch?v=BvMOtJr56vA,公式音源候補
Fashionable,https://www.youtube.com/watch?v=xj3U7rxLU7A,公式音源候補
Bouncy Girl,https://www.youtube.com/watch?v=oN3R78I9Tuc,公式音源候補
Spread the Wings!! -25 colors-,https://www.youtube.com/watch?v=dus5WQ0KkV0,公式音源候補
Ambitious Eve -25 colors-,https://www.youtube.com/watch?v=CyK023R1kpI,公式音源候補
シャイノグラフィ -25 colors-,https://www.youtube.com/watch?v=PtkspIam-O0,公式音源候補
Resonance⁺ -25 colors-,https://www.youtube.com/watch?v=gDq36m9WWIc,公式音源候補
SNOW FLAKES MEMORIES -25 colors-,https://www.youtube.com/watch?v=RZCc_fHGJ6U,公式音源候補
FUTURITY SMILE -25 colors-,https://www.youtube.com/watch?v=SPzh11qVC8Q,公式音源候補
Multicolored Sky -25 colors-,https://www.youtube.com/watch?v=I9uIEELGJv0,公式音源候補
いつか Shiny Days -25 colors-,https://www.youtube.com/watch?v=_1d1AHONE-M,公式音源候補
Dye the sky. -25 colors-,https://www.youtube.com/watch?v=pcjqIa4pyw0,公式音源候補
Color Days -25 colors-,https://www.youtube.com/watch?v=NgOjpYac5tY,公式音源候補
Let's get a chance -25 colors-,https://www.youtube.com/watch?v=JPV91VUHuk0,公式音源候補
SWEET♡STEP -25 colors-,https://www.youtube.com/watch?v=4JSz806qwGk,公式音源候補
Forward March！！！,https://www.youtube.com/watch?v=TGn7lPFIe2Y,公式音源候補
星が流れて,https://www.youtube.com/watch?v=XmkQ20Z_Iqg,公式音源候補
BRIGHTEST WHITE,https://www.youtube.com/watch?v=CSLJHEJYmXo,公式音源候補
とある英雄たちの物語,https://www.youtube.com/watch?v=X3G6sqNjqgc,公式音源候補
Unsung Heroes,https://www.youtube.com/watch?v=U5JkNmBaYS8,公式音源候補
有彩色ユリイカ,https://www.youtube.com/watch?v=mBQ17J-Nd4Q,公式音源候補
ハナサカサイサイ,https://www.youtube.com/watch?v=YCODUk2zMtc,公式音源候補
全力アンサー,https://www.youtube.com/watch?v=PyJYgXeFHvM,公式音源候補
ひめくりモザイク,https://www.youtube.com/watch?v=bTkqudimYUI,公式音源候補
メッセージ,https://www.youtube.com/watch?v=u2KT-KXi9Nw,公式音源候補
Love Letter,https://www.youtube.com/watch?v=jDH6p8QnKms,公式音源候補
グラデーション,https://www.youtube.com/watch?v=cu1_MB4fkeM,公式音源候補
フェアリー・ガール,https://www.youtube.com/watch?v=U9DGtsSZC6c,公式音源候補
Look up to the sky,https://www.youtube.com/watch?v=IYjbadrSTCI,公式音源候補
Shiny Stories,https://www.youtube.com/watch?v=jpr4yZwEOiU,公式音源候補
Imitation Ghost,https://www.youtube.com/watch?v=T0nLvO4UsVU,公式音源候補
BURN BURN,https://www.youtube.com/watch?v=EgJIM50Bapc,公式音源候補
Start up Stand up,https://www.youtube.com/watch?v=_1qc7wiRPvw,公式音源候補
Reflection,https://www.youtube.com/watch?v=1L3D6oRnT6k,公式音源候補
夢が夢じゃなくなるその日まで,https://www.youtube.com/watch?v=X3L0XntjcYM,公式音源候補
青とオレンジ,https://www.youtube.com/watch?v=9y9nt5y9LJ8,公式音源候補
Forbidden Paradise,https://www.youtube.com/watch?v=TbG6ZmWLgOo,公式音源候補
SWEETEST BITE,https://www.youtube.com/watch?v=3DrcZ-GZ50Y,公式音源候補
White Story,https://www.youtube.com/watch?v=8yLzTFnI8oY,公式音源候補
星の声,https://www.youtube.com/watch?v=XV6fnEG2gt4,公式音源候補
無自覚アプリオリ,https://www.youtube.com/watch?v=DtfRmBLx_R8,公式音源候補
くだらないや,https://www.youtube.com/watch?v=S3Yo7SPkxGc,公式音源候補
平行線の美学,https://www.youtube.com/watch?v=y6RIPflxByI,公式音源候補
裸足じゃイラレナイ,https://www.youtube.com/watch?v=vI6ofjkxpsE,公式音源候補
明日もBeautiful Day,https://www.youtube.com/watch?v=EO-ypaEW6s4,公式音源候補
ホムラインビテーション,https://www.youtube.com/watch?v=AAw9U4NFDZM,公式音源候補
ハナムケのハナタバ,https://www.youtube.com/watch?v=JRSbcYR6FWE,公式音源候補
青空,https://www.youtube.com/watch?v=dTMjkjTRkEM,公式音源候補
ツバサグラビティ,https://www.youtube.com/watch?v=6E9Kx_VMm5g,公式音源候補
輝きにかわる,https://www.youtube.com/watch?v=gBAzYE_pvEg,公式音源候補
ONE STAR,https://www.youtube.com/watch?v=QkoLhsHWMVQ,公式音源候補
GOTCHA,https://www.youtube.com/watch?v=jCwcC_ArsEU,公式音源候補
Happier,https://www.youtube.com/watch?v=R3xelzEB7Rc,公式音源候補
枕木の歌,https://www.youtube.com/watch?v=RMG1LKVzdZU,公式音源候補
文明開花輪舞 -シティ・ハレルヤ-,https://www.youtube.com/watch?v=MdHyGhj6MYI,公式音源候補
秋の終わり、僕の記憶,https://www.youtube.com/watch?v=uKWT5M74fyw,公式音源候補
放課後マギア,https://www.youtube.com/watch?v=hPWqVsQTIf4,公式音源候補
パーティーマジックデザイナー,https://www.youtube.com/watch?v=i2bLzPugsn4,公式音源候補
時限式狂騒ワンダーランド,https://www.youtube.com/watch?v=ffhEYSOnFNg,公式音源候補
LINKs,https://www.youtube.com/watch?v=ePj_kfBElbo,公式音源候補
アスタラブビスタ,https://www.youtube.com/watch?v=of_J-pt-pgc,公式音源候補
DAYDREAM LOVE,https://www.youtube.com/watch?v=jkg10yrznU0,公式音源候補
Cyber Parkour,https://www.youtube.com/watch?v=25Su6jUeLDc,公式音源候補
LIVE LIVE LIVE!,https://www.youtube.com/watch?v=qqyTvgd8ncA,公式音源候補
After Run,https://www.youtube.com/watch?v=GBy9OCb3z_Q,公式音源候補
mellow mellow,https://www.youtube.com/watch?v=dybEycyJ4ZI,公式音源候補
いつかのキミへ,https://www.youtube.com/watch?v=y2VturCh4PI,公式音源候補
365日のストーリー,https://www.youtube.com/watch?v=kIQJgUHJZvA,公式音源候補
プリズムフレア,https://www.youtube.com/watch?v=sXTPgytaLuw,公式音源候補
ねぇ、ねぇ、ねぇ,https://www.youtube.com/watch?v=-rT9ozKFQ84,公式音源候補
OPEN the New world,https://www.youtube.com/watch?v=Xqcd9OkmCEU,公式音源候補
Midnight parade!,https://www.youtube.com/watch?v=b1e769b0QWw,公式音源候補
CANDY UNIVERSE,https://www.youtube.com/watch?v=heYJOeg_xfs,公式音源候補
Poison Berry Daughters,https://www.youtube.com/watch?v=08yGaxb6jBo,公式音源候補
Monochromatic,https://www.youtube.com/watch?v=mSITQcotcgA,公式音源候補
Snowflake,https://www.youtube.com/watch?v=ln4Zkas5LAU,公式音源候補
C'mon! Join Us,https://www.youtube.com/watch?v=Siq4jJ1RFMY,公式音源候補
愛なView,https://www.youtube.com/watch?v=n4dlNkvwLyI,公式音源候補
サマーサマーオーシャンパーリィバケーション,https://www.youtube.com/watch?v=4cALKy06X1s,公式音源候補
Heads or Tails？,https://www.youtube.com/watch?v=bQZw4JzZnhI,公式音源候補
グッバイ,https://www.youtube.com/watch?v=HxI8csmgT6E,公式音源候補
神様は死んだ、って (2024 Remastering Ver.),https://www.youtube.com/watch?v=4ftrmgThjcY,公式音源候補
無垢,https://www.youtube.com/watch?v=DfiUOdO8otA,公式音源候補
夢模様キャンバス,https://www.youtube.com/watch?v=lQoDmoMrifo,公式音源候補
1/3,https://www.youtube.com/watch?v=zj84AbjJndc,公式音源候補
泥濘鳴鳴,https://www.youtube.com/watch?v=CuRIuFRD1zI,公式音源候補
Clean.Clean up,https://www.youtube.com/watch?v=4T-khJ2WrG0,公式音源候補
星の数だけ,https://www.youtube.com/watch?v=mXiNijnEnjo,公式音源候補
橙より未来,https://www.youtube.com/watch?v=-qGFQYouceo,公式音源候補
さあ舞い上がれ,https://www.youtube.com/watch?v=9AWm3InRYkU,公式音源候補
With you,https://www.youtube.com/watch?v=s5-6ICR5kAE,公式音源候補
Future Designer,https://www.youtube.com/watch?v=pKKh7_5n9Og,公式音源候補
未来へのSign,https://www.youtube.com/watch?v=_tHKr5fdK4A,公式音源候補
STARRY PLACE,https://www.youtube.com/watch?v=rMgvrDhK2qk,公式音源候補
晴れのちバルーン,https://www.youtube.com/watch?v=PiW46jydnkI,公式音源候補
Migratory Echoes,https://www.youtube.com/watch?v=pZFWSNYnxN4,公式音源候補
Migratory Echoes (イルミネーションスターズ Ver.),https://www.youtube.com/watch?v=_GyLmRviEe4,公式音源候補
Migratory Echoes (アンティーカ Ver.),https://www.youtube.com/watch?v=uL5JlKRkUeo,公式音源候補
Migratory Echoes (放課後クライマックスガールズ Ver.),https://www.youtube.com/watch?v=sVlXuJd29BA,公式音源候補
Migratory Echoes (アルストロメリア Ver.),https://www.youtube.com/watch?v=lKTDcGR0Uww,公式音源候補
Migratory Echoes (ストレイライト Ver.),https://www.youtube.com/watch?v=3Buyp0pd4BE,公式音源候補
Migratory Echoes (ノクチル Ver.),https://www.youtube.com/watch?v=AZ24D8mII-E,公式音源候補
【シャニソン】シャイニーカラーズ「SNOW FLAKES MEMORIES」3DMV（4K対応）【アイドルマスター】,https://www.youtube.com/watch?v=I4qrp26RxL4,3DMV
【シャニアニ】アンティーカ「バベルシティ・グレイス」キャストMV 【アイドルマスター】,https://www.youtube.com/watch?v=xijlX5QvO88,公式音源候補
【シャニマス】アルストロメリア×コメティック「リフレインブレイン」2DMV【アイドルマスター】,https://www.youtube.com/watch?v=8ZAYMh9oqM8,2DMV
【シャニマス】放課後クライマックスガールズ×ストレイライト「迅雷鉄火」2DMV【アイドルマスター】,https://www.youtube.com/watch?v=5mvt7_gLpt8,2DMV
【シャニソン】Sonic Heart (and Signal)「ボーダーレス・ノンストレス」3DMV（4K対応）【アイドルマスター】,https://www.youtube.com/watch?v=Oaj6jo_LKLY,3DMV
